Sync Key,Project Number,Cost Code,Bid Div,Division Name,Division Sort,Scope Item,Unit,Bluebeam Subject,Quantity,Base Rate,Modifier,Preliminary Cost,Source
2026-041|01000-01,2026-041,01000-01,1000,General Conditions,1,Superintendent,HRS,General,160.00,120.00,1.000,19200.00,JOB
2026-041|01000-02,2026-041,01000-02,1000,General Conditions,1,Project Manager,HRS,General,80.00,135.00,1.000,10800.00,JOB
2026-041|01000-03,2026-041,01000-03,1000,General Conditions,1,Trash Removal,LS,General,1.00,3500.00,1.000,3500.00,JOB
2026-041|01743-01,2026-041,01743-01,1743,Final Cleaning,2,Final Clean,SF,Area,15000.00,0.25,1.000,3750.00,JOB
2026-041|02050-01,2026-041,02050-01,2050,Demolition,3,Floor Prep,SF,Area,15000.00,0.50,1.000,7500.00,JOB
2026-041|02051-01,2026-041,02051-01,2051,Interior Demolition,4,Demo Partitions,LF,Length,500.00,15.00,1.000,7500.00,JOB
2026-041|02051-02,2026-041,02051-02,2051,Interior Demolition,4,Demo Ceiling,SF,Area,10000.00,1.50,1.000,15000.00,JOB
2026-041|02051-03,2026-041,02051-03,2051,Interior Demolition,4,Demo Flooring,SF,Area,12000.00,1.25,1.000,15000.00,JOB
2026-041|03001-01,2026-041,03001-01,3001,Concrete/Slab,5,Slab Infill,SF,Area,500.00,12.00,1.000,6000.00,JOB
2026-041|06400-01,2026-041,06400-01,6400,Millwork,6,Pantry Cabinets,LF,Length,40.00,350.00,1.000,14000.00,JOB
2026-041|06400-02,2026-041,06400-02,6400,Millwork,6,Stone Countertop,SF,Area,80.00,150.00,1.000,12000.00,JOB
2026-041|07200-01,2026-041,07200-01,7200,Insulation,7,Sound Batt,SF,Area,4500.00,1.10,1.000,4950.00,JOB
2026-041|08200-01,2026-041,08200-01,8200,Doors Frames & Hardware,8,Solid Core Wood Door,EA,Count,25.00,1200.00,1.000,30000.00,JOB
2026-041|08200-02,2026-041,08200-02,8200,Doors Frames & Hardware,8,Glass Door,EA,Count,5.00,2500.00,1.000,12500.00,JOB
2026-041|09250-01,2026-041,09250-01,9250,Drywall,9,Standard Partition,LF,Length,1200.00,65.00,1.000,78000.00,JOB
2026-041|09250-02,2026-041,09250-02,9250,Drywall,9,Slab-to-Slab Partition,LF,Length,400.00,85.00,1.000,34000.00,JOB
2026-041|09250-03,2026-041,09250-03,9250,Drywall,9,Column Enclosures,EA,Count,15.00,400.00,1.000,6000.00,JOB
2026-041|09500-01,2026-041,09500-01,9500,Acoustical,10,2x2 ACT,SF,Area,12000.00,4.50,1.000,54000.00,JOB
2026-041|09500-02,2026-041,09500-02,9500,Acoustical,10,Specialty Cloud,SF,Area,1500.00,18.00,1.000,27000.00,JOB
2026-041|09650-01,2026-041,09650-01,9650,Resilient Flooring,11,LVT,SF,Area,3000.00,6.50,1.000,19500.00,JOB
2026-041|09650-02,2026-041,09650-02,9650,Resilient Flooring,11,Rubber Base,LF,Length,2500.00,2.00,1.000,5000.00,JOB
2026-041|09695-01,2026-041,09695-01,9695,Flooring/Carpet,12,Carpet Tile,SY,Area,1000.00,35.00,1.000,35000.00,JOB
2026-041|09900-01,2026-041,09900-01,9900,Wall Finishes,13,Paint Walls,SF,Area,15000.00,1.25,1.000,18750.00,JOB
2026-041|09900-02,2026-041,09900-02,9900,Wall Finishes,13,Paint Doors/Frames,EA,Count,30.00,75.00,1.000,2250.00,JOB
2026-041|15300-01,2026-041,15300-01,15300,Fire Sprinkler,14,Sprinkler Head Relocate,EA,Count,80.00,250.00,1.000,20000.00,JOB
2026-041|15400-01,2026-041,15400-01,15400,Plumbing,15,Sink Rough-in,EA,Count,4.00,1800.00,1.000,7200.00,JOB
2026-041|15400-02,2026-041,15400-02,15400,Plumbing,15,Dishwasher Hookup,EA,Count,2.00,800.00,1.000,1600.00,JOB
2026-041|15500-01,2026-041,15500-01,15500,HVAC,16,VAV Box Relocate,EA,Count,12.00,1500.00,1.000,18000.00,JOB
2026-041|15500-02,2026-041,15500-02,15500,HVAC,16,Ductwork Modifications,LS,Length,1.00,15000.00,1.000,15000.00,JOB
2026-041|15500-03,2026-041,15500-03,15500,HVAC,16,Diffusers,EA,Count,120.00,85.00,1.000,10200.00,JOB
2026-041|15500-04,2026-041,15500-04,15500,HVAC,16,Testing & Balancing,LS,Count,1.00,4500.00,1.000,4500.00,JOB
2026-041|15500-05,2026-041,15500-05,15500,HVAC,16,Control Wiring,LS,Length,1.00,8000.00,1.000,9999.00,JOB
2026-041|16001-01,2026-041,16001-01,16001,Electrical,17,2x4 LED Fixtures,EA,Count,150.00,220.00,1.000,33000.00,JOB
2026-041|16001-02,2026-041,16001-02,16001,Electrical,17,Downlights,EA,Count,45.00,180.00,1.000,8100.00,JOB
2026-041|16001-03,2026-041,16001-03,16001,Electrical,17,Duplex Receptacles,EA,Count,180.00,85.00,1.000,15300.00,JOB
2026-041|16001-04,2026-041,16001-04,16001,Electrical,17,Data Rough-in,EA,Count,180.00,65.00,1.000,11700.00,JOB
2026-041|16001-05,2026-041,16001-05,16001,Electrical,17,Fire Alarm Devices,EA,Count,40.00,250.00,1.000,10000.00,JOB
2026-041|16600-01,2026-041,16600-01,16600,Fire Life Safety,18,Panel Programming,LS,Count,1.00,2500.00,1.000,2500.00,JOB
